"PLOT","SPCD","DIA","HT","Species"
"19511",94,6.7,50,"White Spruce"
"19511",94,6.9,53,"White Spruce"
"19511",94,9.3,59,"White Spruce"
"19511",94,6.7,50,"White Spruce"
"19511",94,6.9,53,"White Spruce"
"19511",94,9.3,59,"White Spruce"
"10729",95,5,28,"Black Spruce"
"10729",95,6.1,34,"Black Spruce"
"10729",95,4.5,25,"Black Spruce"
"25684",94,9.8,58,"White Spruce"
"25684",94,6.2,37,"White Spruce"
"25684",94,10.4,63,"White Spruce"
"25684",94,10.3,66,"White Spruce"
"25684",94,10.5,39,"White Spruce"
"39206",95,3.9,24,"Black Spruce"
"39206",95,7.5,35,"Black Spruce"
"39206",95,5.8,32,"Black Spruce"
"28878",95,1.3,11,"Black Spruce"
"10726",95,2.5,18,"Black Spruce"
"10726",95,2,18,"Black Spruce"
"10726",95,2.1,16,"Black Spruce"
"31178",95,4.6,28,"Black Spruce"
"31178",95,4,24,"Black Spruce"
"31178",95,4.3,24,"Black Spruce"
"8473",94,6.2,48,"White Spruce"
"8473",94,5.5,40,"White Spruce"
"8473",94,6.8,38,"White Spruce"
"8473",94,6.2,48,"White Spruce"
"8473",94,5.5,40,"White Spruce"
"8473",94,6.8,38,"White Spruce"
"64323",95,5,28,"Black Spruce"
"64323",95,3.7,23,"Black Spruce"
"64323",95,4,21,"Black Spruce"
"61063",94,8,36,"White Spruce"
"61063",94,6.4,43,"White Spruce"
"61063",94,7.3,38,"White Spruce"
"32443",94,7.9,51,"White Spruce"
"32443",94,6.7,50,"White Spruce"
"32443",94,7.3,48,"White Spruce"
"61387",94,7.9,35,"White Spruce"
"5961",94,13.5,83,"White Spruce"
"5961",94,8.1,65,"White Spruce"
"5961",94,8.5,55,"White Spruce"
"61122",95,7.6,49,"Black Spruce"
"51548",94,6.2,43,"White Spruce"
"14889",95,5.8,44,"Black Spruce"
"14889",95,6.6,47,"Black Spruce"
"14889",95,5.8,41,"Black Spruce"
"23292",95,7.3,38,"Black Spruce"
"23292",95,6.1,40,"Black Spruce"
"23292",95,5.8,40,"Black Spruce"
"63988",95,2.2,15,"Black Spruce"
"11420",94,8.4,48,"White Spruce"
"11420",94,10.3,50,"White Spruce"
"11420",94,11.6,62,"White Spruce"
"3019",95,5.6,38,"Black Spruce"
"3019",95,5.9,34,"Black Spruce"
"61311",95,5.6,32,"Black Spruce"
"61311",95,4.1,29,"Black Spruce"
"61311",95,3.8,27,"Black Spruce"
"41355",95,5,31,"Black Spruce"
"41355",95,5.2,26,"Black Spruce"
"41355",95,6.6,40,"Black Spruce"
"38751",94,10.1,55,"White Spruce"
"38751",94,8.1,44,"White Spruce"
"38751",94,7.4,48,"White Spruce"
"40270",94,5.2,26,"White Spruce"
"40270",94,11.5,67,"White Spruce"
"40270",94,9.4,58,"White Spruce"
"40270",94,8.4,62,"White Spruce"
"58871",264,13.6,55,"Mountain Hemlock"
"58871",264,15.1,53,"Mountain Hemlock"
"58871",264,11.9,53,"Mountain Hemlock"
"9455",94,6.6,28,"White Spruce"
"9455",94,5.9,22,"White Spruce"
"54080",264,7.4,33,"Mountain Hemlock"
"54080",264,9.3,20,"Mountain Hemlock"
"54080",264,10.4,36,"Mountain Hemlock"
"53663",108,8.4,22,"Lodgepole Pine"
"53663",108,5.4,13,"Lodgepole Pine"
"53663",108,10.6,21,"Lodgepole Pine"
