CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,METHOD,SITREE_EST,VALIDCD,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
720777084290487,547414514126144,,2019,2,1,122,22959,1,5,94.0,13.2,73,108,18,70,100,1,1,,1,2020-02-10 18:09:03,2024-09-17 13:16:07,3,5,,0,,,,,100,,N,1,,16,,,,,56,50,TSHE02
720777081290487,547414514126144,,2019,2,1,122,22959,1,1,94.0,10.8,65,105,18,63,100,2,1,,1,2020-02-10 18:09:03,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,16,,,,,50,50,TSHE02
720777085290487,547414514126144,,2019,2,1,122,22959,1,7,94.0,12.6,47,97,18,48,100,2,1,,1,2020-02-10 18:09:03,2024-09-17 13:16:07,3,5,,0,,,,,100,,N,1,,16,,,,,37,50,TSHE02
720769084290487,547414569126144,,2019,2,1,220,53663,1,1,108.0,8.4,22,160,21,22,100,1,1,,1,2020-02-10 18:09:04,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,6,,,,,9,50,PISI01
720769085290487,547414569126144,,2019,2,1,220,53663,1,2,108.0,5.4,13,100,21,13,100,1,1,,1,2020-02-10 18:09:04,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,6,,,,,,,
720769086290487,547414569126144,,2019,2,1,220,53663,1,3,108.0,10.6,21,250,21,21,100,1,1,,1,2020-02-10 18:09:04,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,6,,,,,6,50,PISI01
720769087290487,547414569126144,,2019,2,1,220,53663,2,4,42.0,8.2,39,97,24,39,100,2,1,,1,2020-02-10 18:09:04,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,11,,,,,31,50,TSHE02
720769088290487,547414569126144,,2019,2,1,220,53663,2,5,42.0,7.5,32,124,24,30,100,2,1,,1,2020-02-10 18:09:04,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,11,,,,,24,50,TSHE02
644925256126144,479563691489998,,2017,2,1,201,22069,1,2,263.0,17.5,94,112,13,85,100,1,1,,1,2019-04-11 18:24:16,2024-09-17 13:16:07,3,3,,,,,,,100,,P,3,,9,,,,,72,50,TSHE02
644925258126144,479563691489998,,2017,2,1,201,22069,1,4,263.0,16.8,97,175,13,70,100,3,1,,1,2019-04-11 18:24:16,2024-09-17 13:16:07,3,3,,0,,,,,100,,A,3,,9,,,,,66,50,TSHE02
